"","data","variables","year","fishing_type","description"
"1",1.62,"percmpatime",2012,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"2",6.30,"percmpatime",2013,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"3",4.87,"percmpatime",2014,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"4",1.75,"percmpatime",2015,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"5",3.34,"percmpatime",2016,"Drifting Longlines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"6",14.86,"percmpatime",2012,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"7",3.59,"percmpatime",2013,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"8",0.19,"percmpatime",2014,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"9",1.36,"percmpatime",2015,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"10",3.87,"percmpatime",2016,"Fixed Gear","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"11",0,"percmpatime",2012,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"12",0.95,"percmpatime",2013,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"13",0.54,"percmpatime",2014,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"14",0.92,"percmpatime",2015,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"15",1.06,"percmpatime",2016,"Others","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"16",5.94,"percmpatime",2012,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"17",18.2,"percmpatime",2013,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"18",20.49,"percmpatime",2014,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"19",3.31,"percmpatime",2015,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"20",11.16,"percmpatime",2016,"Purse Seines","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"21",0.00,"percmpatime",2012,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"22",0.00,"percmpatime",2013,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"23",11.9,"percmpatime",2014,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"24",11.36,"percmpatime",2015,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"25",16.86,"percmpatime",2016,"Squid Jigger","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"26",2.72,"percmpatime",2012,"All Fishing Types","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"27",3.27,"percmpatime",2013,"All Fishing Types","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"28",3.61,"percmpatime",2014,"All Fishing Types","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
"29",1.76,"percmpatime",2015,"All Fishing Types","How many percentages of Total Fishing Hours in EEZ are counted from MPA?"
